source_id,source_sha256_12,operator,dimension,targets,assessed_ok,supported_ge_2_3,weak_below_floor,unassessed,failed_or_invalid,stale,excluded_by_discovery,excluded_ids,supported_and_discovery_eligible,supported_eligible_conf_ge_0.5,weak_and_discovery_eligible,best_eligible_target,best_norm,best_confidence,published_bonds
F7,c96f98c9a49b,BRIDGE,bridge_relation,40,40,2,38,0,0,0,2,F6|F8,2,0,36,F12,0.687,0.430,0
F8,efda98e00c42,ECHO,echo,40,40,17,23,0,0,0,2,F7|F9,15,9,23,F1,0.973,0.920,0
F8,efda98e00c42,DEVELOP,development,40,40,11,29,0,0,0,2,F7|F9,9,5,29,F5,0.843,0.530,0
F8,efda98e00c42,CONTRADICT,contradiction,40,40,0,40,0,0,0,2,F7|F9,0,0,38,,,,0
F8,efda98e00c42,BRIDGE,bridge_relation,40,40,10,30,0,0,0,2,F7|F9,10,1,28,P7,0.723,0.420,0
F9,b6f600115a90,ECHO,echo,40,40,14,26,0,0,0,2,F8|F10,12,9,26,F1,0.977,0.930,0
F9,b6f600115a90,DEVELOP,development,40,40,16,24,0,0,0,2,F8|F10,14,9,24,F12,0.873,0.620,0
F9,b6f600115a90,CONTRADICT,contradiction,40,40,0,40,0,0,0,2,F8|F10,0,0,38,,,,0
F9,b6f600115a90,BRIDGE,bridge_relation,40,40,17,23,0,0,0,2,F8|F10,17,0,21,LF7,0.813,0.440,0
F10,785b5280ac55,ECHO,echo,40,40,11,29,0,0,0,2,F9|F11,9,8,29,F2,0.910,0.730,0
F10,785b5280ac55,DEVELOP,development,40,40,8,32,0,0,0,2,F9|F11,6,3,32,F12,0.847,0.540,0
F10,785b5280ac55,CONTRADICT,contradiction,40,40,0,40,0,0,0,2,F9|F11,0,0,38,,,,0
F10,785b5280ac55,BRIDGE,bridge_relation,40,40,13,27,0,0,0,2,F9|F11,13,0,25,LF7,0.810,0.430,0
F11,5729f5fec994,ECHO,echo,40,40,12,28,0,0,0,2,F10|F12,11,8,27,P5,0.957,0.870,0
F11,5729f5fec994,DEVELOP,development,40,40,9,31,0,0,0,2,F10|F12,7,6,31,P1,0.950,0.850,0
F11,5729f5fec994,CONTRADICT,contradiction,40,40,2,38,0,0,0,2,F10|F12,2,1,36,P1,0.917,0.750,0
F11,5729f5fec994,BRIDGE,bridge_relation,40,40,9,31,0,0,0,2,F10|F12,9,0,29,LF7,0.773,0.320,0
F12,cb4d77c11adb,ECHO,echo,40,40,17,23,0,0,0,1,F11,16,9,23,P8,0.983,0.950,0
